PLACE,state,utility_name,number,pwsid,total_monitoring_and_reporting_other_violations,total_health_based_violations,more_than_5_violations,IF_MORE_THAN_5_year_of_most_recent_violation,IF_MORE_THAN_5_number_of_violations_2016.2020,VIO_Missing,ERROR_CrossChecked_NoViolationData,IF_LESS_THAN_5_number_vio_2016.2020,IF_LESS_THAN_5_year_of_most_recent_violation,Comments,services_provided,county,institutional_arrangement,rate_change_water,rate_change_sewer,year_or_date_of_last_rates_change,median_household_income_in_2017_u_s_census_bureau,approx_number_of_water_connections_epa_sdwis,service_population_approx,source_water,notes_and_assumptions_about_rates_and_calculated_bills,billing_period_water,base_charge_pricing_water,monthly_gallons_provided_with_base_charge_allowance_water,water_rate_structure,number_of_blocks_water,first_block_maximum_monthly_gallons_water,outside_inside_bill_differential_at_5_000_gallons_water,water_zero_gallons_0_cf,water_zero_gallons_outside_0_cf,water_3_000gallons_401_cf,water_3_000gallons_outside_401_cf,water_4_000gallons_535_cf,water_4_000gallons_outside_535_cf,water_5_000gallons_668_cf,water_5_000gallons_outside_668_cf,water_7_000gallons_936_cf,water_7_000gallons_outside_936_cf,water_10_000gallons_1_337_cf,water_10_000gallons_outside_1_337_cf,water_15_000gallons_2_005_cf,water_15_000gallons_outside_2_005_cf,billing_period_sewer,base_charge_pricing_sewer,monthly_gallons_provided_with_base_charge_allowance_sewer,sewer_rate_structure,number_of_blocks_sewer,first_block_maximum_monthly_gallons_sewer,outside_inside_bill_differential_at_5_000_gallons_sewer,sewer_zero_gallons_0_cf,sewer_zero_gallons_outside_0_cf,sewer_3_000gallons_401_cf,sewer_3_000gallons_outside_401_cf,sewer_4_000gallons_535_cf,sewer_4_000gallons_outside_535_cf,sewer_5_000gallons_668_cf,sewer_5_000gallons_outside_668_cf,sewer_7_000gallons_936_cf,sewer_7_000gallons_outside_936_cf,sewer_10_000gallons_1_337_cf,sewer_10_000gallons_outside_1_337_cf,sewer_15_000gallons_2_005_cf,sewer_15_000gallons_outside_2_005_cf,operating_ratio_fy2018_water,operating_ratio_fy2018_sewer,date_of_last_rates_change,median_household_income_in_2016_census_bureau,implied_rate_structure_for_residential_usage_15_000_gallons_month_water,outside_inside_bill_differential_at_6_000_gallons_water,oper_revenue_oper_expense_inc_depreciation_water,water_6_000gallons_802_cf,water_6_000gallons_outside_802_cf,wastewater_rate_structure,implied_rate_structure_for_residential_usage_15_000_gallons_month_sewer,outside_inside_bill_differential_at_6_000_gallons_sewer,oper_revenue_oper_expense_inc_depreciation_sewer,sewer_6_000gallons_802_cf,sewer_6_000gallons_outside_802_cf,x2016_median_household_income_census,x2016_median_house_value_wi_department_of_revenue,estimated_service_population_epa,number_of_accounts_psc,primary_county,water_planning_region_name,implied_uniform_rate_rate_structure_for_residential_usage_15_000_gals_month,oper_revenue_oper_expense_fy2016,monthly_public_fire_protection_charge,water_1_000gallons_137_cf,water_2_000gallons_267_cf,water_8_000gallons_1_069_cf,water_9_000gallons_1_203_cf,old_institutional_arrangement,old_source_water,old_billing_period_water,monthly_bill,old_water_rate_structure,old_billing_period_sewer,old_sewer_rate_structure,STATE.x,noviolations,NEWMostRecentViolationYear,NEWViolations2016.2020,newviolations_2016_2020,finmostrecentviolationyear,No.CDP,CountyCensusData,BinaryCoLoc,CensusPop_fin,PropNonWhite_All_Census_fin,NonWhite_All_Census_fin,PropNonWhite_no2plus_Census_fin,NonWhite_no2plus_Census_fin,PropHispLat_Census_fin,MedHHI_Census_fin,Under100PovLevel_fin,PropUnder100PovLevel_fin,Under150PovLevel_fin,PropUnder150PovLevel_fin,Under200PovLevel_fin,PropUnder200PovLevel_fin,GiniIndex_Census_fin,CensusWhiteProp_fin,CensusBlackProp_fin,CensusAmIndAKProp_fin,CensusAsianProp_fin,CensusNHPIProp_fin,CensusOtherProp_fin,Census2plusProp_fin,Census2plusOtherProp_fin
Sardis city,GA,Sardis,443,GA0330002,0,1,N,NA,NA,,,0,2015,,B,Burke County,Municipality,No,No,1/1/2016,28158,449,1212,GW,NA,Monthly,Constant,0,Uniform Rate,NA,NA,NA,12,NA,2.7,NA,23.6,NA,26.5,NA,32.3,NA,41,NA,55.5,NA,Monthly,Constant,0,Uniform Rate,NA,NA,NA,17.69,NA,36.59,NA,42.89,NA,49.19,NA,61.79,NA,8.69,NA,112.19,NA,0.95,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Uniform Rate,Georgia,0,2015,0,0,2015,FALSE,0,0,774,0.512919897,397,0.493540052,382,0,23750,335,0.432816537,377,0.487080103,456,0.589147287,0.5248,0.487080103,0.488372093,0,0.005167959,0,0,0.019379845,0
Sasser town,GA,Sasser,444,GA2730003,3,0,N,NA,NA,,,0,2014,,W,Terrell County,Municipality,No,NA,1/1/2017,43333,148,343,GW,NA,Monthly,Constant,3000,Increasing Block,5,6000,1.068965517,25,25,25,25,27,28,29,31,33.5,37.5,41,48,55,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,NA,NA,Georgia,0,2014,0,0,2014,FALSE,0,0,305,0.540983607,165,0.540983607,165,0.157377049,34167,73,0.239344262,137,0.449180328,155,0.508196721,0.4364,0.459016393,0.383606557,0.02295082,0,0,0.13442623,0,0
Sauk City village,WI,Sauk,449,WI1570105,2,0,N,NA,NA,,Y,0,2015,,W,NA,Municipality,NA,NA,6/18/2014,NA,NA,3424,GW,NA,Monthly,Constant,0,Decreasing Block,3,16600,NA,13.67,NA,18.92,NA,20.67,NA,22.42,NA,25.92,NA,31.17,NA,39.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.17,NA,NA,NA,NA,NA,NA,NA,54757,181700,3424,1448,Sauk,None,Implied Uniform Rate,1.02,6.77,15.42,17.17,27.67,29.42,Municipality,G,Monthly,1,Decreasing Block,NA,NA,Wisconsin,0,2015,0,0,2015,FALSE,0,0,3482,0.059735784,208,0.041642734,145,0.096783458,64213,108,0.031971581,298,0.08821788,480,0.142095915,0.3874,0.940264216,0,0,0,0.002010339,0.039632395,0.01809305,0.010626077
Saukville village,WI,Saukville,450,WI2460134,0,0,N,NA,NA,,,NA,NA,,W,NA,Municipality,Yes,NA,3/31/2016,NA,NA,4465,GW,NA,Quarterly,Constant,0,Decreasing Block,3,6667,NA,18.95,NA,28.4,NA,31.55,NA,34.7,NA,40.88,NA,49.28,NA,63.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.85,NA,NA,NA,NA,NA,NA,NA,58750,196800,4465,1652,Ozaukee,Southeastern,Decreasing Block,1.28,10.95,22.1,25.25,43.68,46.48,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,1,NA,0,0,NA,FALSE,0,0,4442,0.07429086,330,0.036470059,162,0.028365601,52329,447,0.101360544,677,0.153514739,1389,0.314965986,0.413,0.92570914,0.007879334,0,0.018009905,0.010580819,0,0.037820801,0
Savannah city,GA,"Consolidated Utilities - Coastal Water and Sewerage - Sandy Woods, South Pointe, Southern Hills, White Bluff, Mingledorff, Cottonvale",124,GA1030122,13,0,Y,NA,NA,Y,Y,NA,NA,,W,Chatham County,For_Profit,No,NA,NA,39799,321,782,GW,NA,Monthly,Constant,5000,Increasing Block,2,10000,NA,36,NA,36,NA,36,NA,36,NA,43,NA,53.5,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,GW,Monthly,1,Increasing Block,NA,NA,Georgia,0,NA,NA,NA,NA,FALSE,0,0,145403,0.611218476,88873,0.58337861,84825,0.058134977,43307,29445,0.218630967,47088,0.349631346,60904,0.45221601,0.5093,0.388781524,0.53925985,0.002888524,0.026051732,0.001010983,0.014167521,0.027839866,0.005467563
Savannah city,GA,Utilities of Georgia - The Landings,511,GA0510033,0,0,N,NA,NA,,,NA,NA,,B,Chatham County,For_Profit,No,No,NA,43278,4284,11058,GW,NA,Monthly,By Meter Size,0,Increasing Block,4,5000,NA,18.25,NA,25.18,NA,27.49,NA,29.8,NA,36.8,NA,45.5,NA,78.6,NA,Monthly,By Meter Size,0,Uniform Rate,NA,NA,NA,21.64,NA,3.76,NA,33.8,NA,36.84,NA,42.92,NA,52.4,NA,52.4,NA,1.22,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,GW,Monthly,1,Increasing Block,Monthly,Uniform Rate with a Cap,Georgia,1,NA,0,0,NA,FALSE,0,0,145403,0.611218476,88873,0.58337861,84825,0.058134977,43307,29445,0.218630967,47088,0.349631346,60904,0.45221601,0.5093,0.388781524,0.53925985,0.002888524,0.026051732,0.001010983,0.014167521,0.027839866,0.005467563
Savannah city,GA,Consolidated Utilities - Whitemarsh Estates,129,GA0510094,1,0,N,NA,NA,,,0,2013,,W,Chatham County,For_Profit,No,NA,NA,39799,150,390,GW,NA,Monthly,Constant,5000,Increasing Block,2,10000,NA,36,NA,36,NA,36,NA,36,NA,43,NA,53.5,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,GW,Monthly,1,Increasing Block,NA,NA,Georgia,0,2013,0,0,2013,FALSE,0,0,145403,0.611218476,88873,0.58337861,84825,0.058134977,43307,29445,0.218630967,47088,0.349631346,60904,0.45221601,0.5093,0.388781524,0.53925985,0.002888524,0.026051732,0.001010983,0.014167521,0.027839866,0.005467563
Savannah city,GA,Consolidated Utilities - Coastal Water and Sewerage - Little Neck Plantation,121,GA0510124,1,0,N,NA,NA,,,1,2016,,W,Chatham County,For_Profit,Yes,NA,2/26/2016,39799,42,111,GW,"Customers on Hopeton Court, Little Neck Road, and Zipperer Drive. These customers were previously serviced by Chatham County and now receive water service from Coastal Water and Sewerage, LLC.",Monthly,Constant,5000,Increasing Block,2,10000,NA,36,NA,36,NA,36,NA,36,NA,43,NA,53.5,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,GW,Monthly,1,Increasing Block,NA,NA,Georgia,0,2016,1,1,2016,FALSE,0,0,145403,0.611218476,88873,0.58337861,84825,0.058134977,43307,29445,0.218630967,47088,0.349631346,60904,0.45221601,0.5093,0.388781524,0.53925985,0.002888524,0.026051732,0.001010983,0.014167521,0.027839866,0.005467563
Schley County,GA,Schley County,447,GA2490004,0,0,N,NA,NA,,,NA,NA,,W,Schley County,Other_Govt,No,NA,1/1/2009,41267,530,1368,GW,NA,Monthly,Constant,2000,Uniform Rate,NA,NA,NA,28,NA,31,NA,34,NA,37,NA,43,NA,52,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,County/District,GW,Monthly,1,Uniform Rate,NA,NA,NA,1,NA,0,0,NA,TRUE,1,1,5221,0.303198621,1583,0.291898104,1524,0.065121624,44448,897,0.171806167,1452,0.278107642,2205,0.422332886,0.444,0.696801379,0.254357403,0,0,0,0.037540701,0.011300517,0.000383068
Schofield city,WI,Schofield,451,WI7370162,4,0,N,NA,NA,,Y,2,2017,,W,NA,Municipality,Yes,NA,3/14/2016,NA,NA,2117,GW,NA,Quarterly,Constant,0,Decreasing Block,3,10000,NA,14.91,NA,25.56,NA,29.11,NA,32.66,NA,39.76,NA,50.41,NA,65.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.21,NA,NA,NA,NA,NA,NA,NA,48375,96000,2117,1187,Marathon,North Central,Decreasing Block,1.22,6.91,18.46,22.01,43.31,46.86,Municipality,G,Quarterly,0,Decreasing Block,NA,NA,Wisconsin,0,2017,2,2,2017,FALSE,0,0,2222,0.139513951,310,0.067056706,149,0.072457246,48654,483,0.217371737,662,0.297929793,787,0.354185419,0.5082,0.860486049,0.003150315,0.01440144,0.04770477,0,0.00180018,0.072457246,0.01890189
Scotland city,GA,Scotland,448,GA2710005,5,7,Y,NA,NA,Y,Y,NA,NA,,B,Telfair County,Municipality,No,No,NA,31607,121,309,GW,NA,Monthly,Constant,4500,Uniform Rate,NA,NA,NA,13,NA,13,NA,13,NA,13.75,NA,16.75,NA,21.25,NA,28.75,NA,Monthly,Constant,0,Non-Volumetric Flat Fee,NA,NA,NA,13,NA,13,NA,13,NA,13,NA,13,NA,13,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Uniform Rate,Monthly,Non-Volumetric Flat Fee,Georgia,0,NA,NA,NA,NA,FALSE,0,0,394,0.291878173,115,0.291878173,115,0,34286,78,0.197969543,208,0.527918782,261,0.662436548,0.342,0.708121827,0.291878173,0,0,0,0,0,0
Scottsdale city,AZ,Water Utility of Northern Scottsdale,427,AZ0407179,3,0,N,NA,NA,,Y,1,2019,,W,Maricopa,For_Profit,No,NA,10/1/2015,80306,84,235,GW,"Utility offers a commodity rate rebate for water conservation if monthly use falls below 7,001 gallons.",Monthly,By Meter Size,0,Increasing Block,6,1000,NA,27,NA,39.63,NA,44.22,NA,48.81,NA,59.99,NA,76.76,NA,110.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2019,1,1,2019,FALSE,0,0,250602,0.118897694,29796,0.095529964,23940,0.102229831,88213,19002,0.076232122,29324,0.117641867,42205,0.169317794,0.5044,0.881102306,0.018172241,0.008447658,0.048710705,0.001161204,0.019038156,0.023367731,0.002390244
Scottsdale city,AZ,Scottsdale,346,AZ0407098,14,0,Y,2019,13,,,NA,NA,,B,Maricopa,Municipality,Yes,Yes,11/1/2018,80306,87000,230000,SW,"Base water charge includes a stormwater account fee; volumetric water charge includes one cent quality assurance fee. Commercial rates differ for various customer classes; showing ""Commercial Without Dining"" rates.",Monthly,By Meter Size,0,Increasing Block,5,5000,1.13,15.5,17.36,20.47,23.07,22.13,24.98,23.78,26.88,29.7,33.68,38.57,43.88,55.75,63.63,Monthly,By Meter Size,0,Uniform Rate,NA,NA,1.15,3.5,4.03,11.42,13.15,14.06,16.19,16.7,19.23,21.98,25.31,29.9,34.43,43.1,49.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,Surface Water,M,1,Increasing Block,M,Uniform Rate,Arizona,0,2019,13,13,2019,FALSE,0,0,250602,0.118897694,29796,0.095529964,23940,0.102229831,88213,19002,0.076232122,29324,0.117641867,42205,0.169317794,0.5044,0.881102306,0.018172241,0.008447658,0.048710705,0.001161204,0.019038156,0.023367731,0.002390244
Screven city,GA,Screven,450,GA3050002,0,0,N,NA,NA,,,NA,NA,,B,Wayne County,Municipality,Yes,Yes,7/1/2019,38516,323,840,GW,NA,Monthly,Constant,0,Increasing Block,3,2000,NA,14.2,NA,21.77,NA,24.52,NA,27.27,NA,33.27,NA,42.27,NA,57.27,NA,Monthly,Constant,0,Increasing Block,3,2000,NA,16.13,NA,27.38,NA,31.37,NA,35.36,NA,44.6,NA,57.11,NA,78.86,NA,0.94,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,GW,Monthly,1,Increasing Block,Monthly,Increasing Block,Georgia,1,NA,0,0,NA,FALSE,0,0,781,0.217669654,170,0.215108835,168,0.035851472,47500,149,0.19078105,324,0.414852753,369,0.472471191,0.4374,0.782330346,0.215108835,0,0,0,0,0.002560819,0
Seabrook Beach CDP,NH,Seabrook - Water and Sewer,125,NH2111010,0,0,N,NA,NA,,,NA,NA,,B,NA,Municipality,NA,NA,NA,NA,3725,14000,GW,Additional revenue collected through taxation.,Quarterly,Constant,0,Increasing Block,5,1666.666667,NA,10,10,NA,NA,12.37,14.73,13.42,16.83,NA,NA,20.75,31.5,29.75,49.5,Other,Constant,0,NA,5,1666.666667,NA,10,10,NA,NA,12.37,14.73,13.42,16.83,NA,NA,20.75,31.5,29.75,49.5,NA,NA,1/1/2012,55329,Increasing Block,1.319972826,NA,14.72,19.43,Increasing Block,Increasing Block,1.319972826,NA,14.72,19.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,G,Quarterly,0,Increasing Block,Quarterly,NA,NA,1,NA,0,0,NA,FALSE,0,0,1015,0.010837438,11,0,0,0,105855,92,0.090640394,92,0.090640394,92,0.090640394,0.434,0.989162562,0,0,0,0,0,0.010837438,0
Sedona city,AZ,Boynton Canyon Enchantment Homeowners Association,56,AZ0413125,3,0,N,NA,NA,,Y,0,2014,,W,Coconino,For_Profit,NA,NA,4/1/1989,58417,102,400,GW,NA,Monthly,By Meter Size,0,Uniform Rate,NA,NA,NA,24,NA,35.85,NA,39.8,NA,43.75,NA,51.65,NA,63.5,NA,83.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Uniform Rate,NA,NA,Arizona,0,2014,0,0,2014,FALSE,0,0,10322,0.047180779,487,0.039430343,407,0.097171091,61470,1068,0.10346832,1913,0.1853323,2401,0.232609959,0.5017,0.952819221,0.003778338,0.001356326,0.014435187,0,0.019860492,0.007750436,0
Sedona city,AZ,The Sedona Venture Water and Sewer Company,387,AZ0413108,17,0,Y,2020,9,,,NA,NA,,B,Coconino,For_Profit,NA,NA,4/1/2000,58417,280,480,GW,NA,Monthly,By Meter Size,0,Increasing Block,2,10000,NA,9.65,NA,14.15,NA,15.65,NA,17.15,NA,20.15,NA,24.65,NA,36.65,NA,Monthly,By Meter Size,0,Non-Volumetric Flat Fee,NA,NA,NA,54.18,NA,54.18,NA,54.18,NA,54.18,NA,54.18,NA,54.18,NA,54.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,M,Non-Volumetric Flat Fee,Arizona,0,2020,9,9,2020,FALSE,0,0,10322,0.047180779,487,0.039430343,407,0.097171091,61470,1068,0.10346832,1913,0.1853323,2401,0.232609959,0.5017,0.952819221,0.003778338,0.001356326,0.014435187,0,0.019860492,0.007750436,0
Sedona city,AZ,"Oak Creek Water Company, No. 1",271,AZ0413041,30,16,Y,2020,34,,,NA,NA,,W,Coconino,For_Profit,Yes,NA,11/1/2016,58417,748,1500,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,4000,NA,14.55,NA,19.8,NA,21.55,NA,24.75,NA,31.15,NA,40.75,NA,59.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2020,34,34,2020,FALSE,0,0,10322,0.047180779,487,0.039430343,407,0.097171091,61470,1068,0.10346832,1913,0.1853323,2401,0.232609959,0.5017,0.952819221,0.003778338,0.001356326,0.014435187,0,0.019860492,0.007750436,0
Sedona city,AZ,Seven Canyons Water and Water Treatment Company,348,AZ0413248,12,0,Y,2018,8,,,NA,NA,,B,Coconino,For_Profit,Yes,Yes,4/1/1998,58417,62,250,GW,NA,Monthly,By Meter Size,0,Uniform Rate,NA,NA,NA,20,NA,33.5,NA,38,NA,42.5,NA,51.5,NA,65,NA,87.5,NA,Monthly,Constant,0,Non-Volumetric Flat Fee,NA,NA,NA,45,NA,45,NA,45,NA,45,NA,45,NA,45,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Uniform Rate,M,Non-Volumetric Flat Fee,Arizona,0,2018,8,8,2018,FALSE,0,0,10322,0.047180779,487,0.039430343,407,0.097171091,61470,1068,0.10346832,1913,0.1853323,2401,0.232609959,0.5017,0.952819221,0.003778338,0.001356326,0.014435187,0,0.019860492,0.007750436,0
Sedona city,AZ,"Arizona Water Company - Pinewood, Rimrock, Sedona",27,AZ0403002,1,0,N,NA,NA,,,0,2015,,W,Coconino,For_Profit,Yes,NA,4/1/2018,58417,9986,21699,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,3000,NA,24.27,NA,30.37,NA,33.77,NA,37.17,NA,43.98,NA,54.19,NA,75.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2015,0,0,2015,FALSE,0,0,10322,0.047180779,487,0.039430343,407,0.097171091,61470,1068,0.10346832,1913,0.1853323,2401,0.232609959,0.5017,0.952819221,0.003778338,0.001356326,0.014435187,0,0.019860492,0.007750436,0
Sedona city,AZ,Michael's Ranch Water Users Association,249,AZ0413109,13,0,Y,2019,7,,,NA,NA,,W,Coconino,Other,Yes,NA,4/1/2016,58417,24,36,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,5000,NA,30,NA,42,NA,46,NA,50,NA,64.3,NA,85.75,NA,126.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not_For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2019,7,7,2019,FALSE,0,0,10322,0.047180779,487,0.039430343,407,0.097171091,61470,1068,0.10346832,1913,0.1853323,2401,0.232609959,0.5017,0.952819221,0.003778338,0.001356326,0.014435187,0,0.019860492,0.007750436,0
Seligman CDP,AZ,Aubrey Water Company,34,AZ0413010,7,0,Y,2019,3,,,NA,NA,,W,Yavapai,For_Profit,Yes,NA,3/1/2019,NA,369,823,GW,NA,Monthly,By Meter Size,0,Increasing Block,3,3000,NA,25.68,NA,36.72,NA,41.45,NA,46.18,NA,55.64,NA,69.83,NA,97.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,Groundwater,M,1,Increasing Block,NA,NA,Arizona,0,2019,3,3,2019,FALSE,0,0,776,0.159793814,124,0.12371134,96,0.328608247,NA,10,0.012886598,72,0.092783505,152,0.195876289,0.3715,0.840206186,0,0.12371134,0,0,0,0.036082474,0
Seminole County,GA,Decatur Consolidated Water Services - Holly Isles,157,GA2530007,2,0,N,NA,NA,,,0,2015,,W,Seminole County,For_Profit,Yes,NA,3/1/2019,30523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.21,NA,39.21,NA,39.21,NA,39.21,NA,43.41,NA,49.71,NA,6.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,For_Profit,NA,NA,NA,NA,NA,NA,NA,0,2015,0,0,2015,TRUE,1,1,8321,0.378680447,3151,0.345271001,2873,0.032087489,33357,1949,0.237335606,2752,0.335119338,3865,0.470652703,0.6006,0.621319553,0.331690903,0,0.007811561,0,0.005768537,0.033409446,0.005167648
Senoia city,GA,Senoia,451,GA0770003,1,2,N,NA,NA,,,0,2013,,B,Coweta County,Municipality,No,No,9/15/2015,83947,1930,5018,SW,NA,Monthly,Constant,1000,Increasing Block,4,5000,1.302631579,16,23.5,27,36.5,32.5,43,38,49.5,5.4,63.9,69,85.5,13.5,125,Monthly,Constant,1000,Uniform Rate,NA,NA,NA,2.57,NA,3.25,NA,35.9,NA,39.93,NA,49.61,NA,64.13,NA,88.33,NA,1.08,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Municipality,SW,Monthly,1,Increasing Block,Monthly,Uniform Rate,Georgia,0,2013,0,0,2013,FALSE,0,0,4256,0.145911654,621,0.107612782,458,0.023731203,92589,286,0.067199248,726,0.170582707,854,0.200657895,0.343,0.854088346,0.089520677,0,0.018092105,0,0,0.038298872,0
